category,subject,day,start_period,end_period,start_time,end_time,room
전공,서양사 2 - 근대유럽사의 발전,목,1,3,09:00,12:00,성309
전공,동아시아사 2: 중국 문명사,월,7,9,15:00,18:00,성612
전공,역사콘텐츠 리터러시,목,7,9,15:00,18:00,수204-1
전공,역사로 글쓰기,수,7,9,15:00,18:00,수408
전공,사물/예술의 역사,수,4,6,12:00,15:00,수327
전공,동아시아와 근대화,화,4,6,12:00,15:00,수407
전공,일상/문화의 역사,화,4,6,12:00,15:00,난302
전공,Reading Seminar: 지식,화,7,9,15:00,18:00,수406
전공,환경과 기술의 역사,목,7,9,15:00,18:00,수407
전공,예술경영학,화,1,3,09:00,12:00,운캠B-106
전공,뮤지컬사,화,1,3,09:00,12:00,운캠B 423
전공,미술사,수,4,6,12:00,15:00,운캠C 103
전공,미술사,화,4,6,12:00,15:00,운캠C 204
전공,연극의 이해,목,7,9,15:00,18:00,운캠B 530
전공,문화예술 홍보,월,7,9,15:00,18:00,운캠B 530
전공,대중음악 콘서트 기획 및 경영,수,7,9,15:00,18:00,운캠C 208
전공,문화예술산업,화,4,6,12:00,15:00,운캠B 530
전공,경영학원론,금,7,9,15:00,18:00,운캠B-106
전공,영화의 이해,월,7,9,15:00,18:00,운캠C 212
전공,문화예술재원조성,수,4,6,12:00,15:00,운캠B 530
전공,공연기획 프로젝트,목,1,3,09:00,12:00,운캠B 423
전공,미디어영상연기의 이해,수,7,9,15:00,18:00,운캠C 205
전공,호흡/발성 2,화,4,6,12:00,15:00,운캠P 808
전공,호흡/발성 2,화,7,9,15:00,18:00,운캠P 808
전공,움직임트레이닝 2,월,3,5,11:00,14:00,운캠P 807
전공,메소드연기 2,월,7,8,15:00,17:00,운캠P 807
전공,메소드연기 2,목,8,9,16:00,18:00,운캠P 807
전공,메소드연기 2,월,8,9,16:00,18:00,운캠P 807
전공,메소드연기 2,목,7,8,15:00,17:00,운캠P 807
전공,메소드연기 2,수,4,6,12:00,15:00,운캠P 808
전공,매체연기 기초 2,수,4,6,12:00,15:00,운캠P 716
전공,매체연기 기초 2,수,7,9,15:00,18:00,운캠P 716
전공,매체연기 기초 2,월,4,6,12:00,15:00,운캠P 716
전공,배우 화술 2,수,3,5,11:00,14:00,운캠P 807
전공,단편영화 프로덕션 2,금,7,9,15:00,18:00,운캠C 308
전공,단편영화 프로덕션 2,금,7,9,15:00,18:00,운캠P 716
전공,단편영화 프로덕션 2,수,7,9,15:00,18:00,운캠C 308
전공,단편영화 프로덕션 2,월,7,9,15:00,18:00,운캠P 716
전공,장면연기워크숍 2,목,4,6,12:00,15:00,운캠P 807
전공,장면연기워크숍 2,목,4,6,12:00,15:00,운캠P 808
전공,움직임워크숍 2,화,4,6,12:00,15:00,운캠P 807
전공,공연워크샵 2,수,7,9,15:00,18:00,운캠P 807
전공,보컬 2,화,4,5,12:00,14:00,운캠P 716
전공,보컬 2,화,2,3,10:00,12:00,운캠P 716
전공,영화 예술사,월,4,5,12:00,14:00,운캠C 308
전공,장편드라마 연기실습 2,금,7,8,15:00,17:00,운캠P 715
전공,오디션연기테크닉,월,5,6,13:00,15:00,운캠P 715
전공,졸업작품워크숍 2,화,4,6,12:00,15:00,운캠P 715
전공,졸업작품워크숍 2,수,7,9,15:00,18:00,운캠P 808
전공,연기 이론의 이해 2,화,7,8,15:00,17:00,운캠P 716
전공,음악의 이해,목,1,3,09:00,12:00,운캠C 205
전공,로직 프로 랩 2,목,8,9,16:00,18:00,nan
전공,컨템포러리 음악 분석과 장르 2,수,8,9,16:00,18:00,nan
전공,뮤지컬 앙상블,목,4,5,12:00,14:00,운캠P 706
전공,뮤지컬 앙상블,목,6,7,14:00,16:00,운캠P 706
전공,편곡론,화,2,3,10:00,12:00,운캠P 706
전공,편곡론,월,5,6,13:00,15:00,운캠B 423
전공,컨템포러리 음악과 테크놀로지 2,화,8,9,16:00,18:00,nan
전공,재즈 화성학 2,화,5,6,13:00,15:00,운캠B 423
전공,시퀀싱 테크닉 랩 2,수,6,7,14:00,16:00,운캠P 704
전공,시퀀싱 테크닉 랩 2,수,8,9,16:00,18:00,운캠P 704
전공,송라이팅 워크숍 2,화,5,6,13:00,15:00,운캠P 704
전공,송라이팅 워크숍 2,화,7,8,15:00,17:00,운캠P 704
전공,송라이팅 워크숍 2,화,7,8,15:00,17:00,운캠B 423
전공,홈 믹싱과 마스터링,목,8,9,16:00,18:00,운캠P 706
전공,스테이지 퍼포먼스 앙상블 2,목,2,3,10:00,12:00,운캠P 706
전공,모달 하모니,월,7,8,15:00,17:00,운캠P 706
전공,에이블톤 라이브 세션 2,수,4,5,12:00,14:00,운캠P 706
전공,사운드 에프엑스 연구,금,6,7,14:00,16:00,운캠P 704
전공,사운드 에프엑스 연구,금,8,9,16:00,18:00,운캠P 704
전공,필름 스코어링과 오케스트레이션 2,월,2,3,10:00,12:00,운캠P 704
전공,필름 스코어링과 오케스트레이션 2,월,4,5,12:00,14:00,운캠P 704
전공,필름 스코어링과 오케스트레이션 2,월,7,8,15:00,17:00,운캠B 423
전공,콜라보러티브 프로덕션 워크숍 2,화,4,5,12:00,14:00,nan
전공,스튜디오 레코딩 앙상블 2,수,6,7,14:00,16:00,운캠P 706
전공,융합무용기초,목,1,3,09:00,12:00,운캠B-302
